Timestamp,Milliseconds,LinLeft,LinRight,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2025-10-05 17:32:52,513,20285,20244,0.992,-0.037,-0.097,0.488,0.122,-0.305
2025-10-05 17:32:52,532,20285,20244,0.992,-0.039,-0.095,0.366,0.244,-0.366
2025-10-05 17:32:52,551,20285,20244,0.99,-0.04,-0.094,0.305,0.244,-0.427
2025-10-05 17:32:52,570,20305,20244,0.991,-0.039,-0.093,0.244,0.183,-0.305
2025-10-05 17:32:52,589,20285,20244,0.993,-0.037,-0.092,0.061,0.244,-0.366
2025-10-05 17:32:52,608,20285,20244,0.989,-0.033,-0.094,-0.061,0.305,-0.244
2025-10-05 17:32:52,627,20285,20244,0.989,-0.028,-0.095,-0.061,0.244,-0.244
2025-10-05 17:32:52,646,20285,20244,0.992,-0.023,-0.095,-0.061,0.244,-0.305
2025-10-05 17:32:52,665,20285,20244,0.99,-0.024,-0.097,-0.183,0.061,-0.183
2025-10-05 17:32:52,684,20285,20244,0.99,-0.028,-0.095,-0.244,0.366,-0.183
2025-10-05 17:32:52,703,20285,20244,0.99,-0.032,-0.096,-0.305,0.305,-0.305
2025-10-05 17:32:52,722,20285,20244,0.991,-0.035,-0.099,-0.244,0.305,-0.122
2025-10-05 17:32:52,741,20285,20244,0.989,-0.035,-0.1,-0.366,0.305,-0.122
2025-10-05 17:32:52,760,20285,20244,0.991,-0.031,-0.102,-0.366,0.183,-0.244
2025-10-05 17:32:52,779,20285,20244,0.991,-0.029,-0.099,-0.366,0.305,-0.122
2025-10-05 17:32:52,798,20285,20244,0.991,-0.029,-0.101,-0.244,0.305,-0.061
2025-10-05 17:32:52,817,20285,20244,0.991,-0.029,-0.098,-0.061,0.366,-0.061
2025-10-05 17:32:52,836,20285,20244,0.988,-0.032,-0.098,-0.061,0.244,-0.061
2025-10-05 17:32:52,855,20285,20244,0.989,-0.037,-0.097,-0.183,0.366,0
2025-10-05 17:32:52,874,20285,20244,0.99,-0.04,-0.096,-0.244,0.305,-0.122
2025-10-05 17:32:52,892,20285,20244,0.992,-0.038,-0.098,-0.305,0.183,0.122
2025-10-05 17:32:52,911,20285,20244,0.989,-0.037,-0.095,-0.366,0.305,-0.122
2025-10-05 17:32:52,931,20285,20244,0.992,-0.033,-0.097,-0.305,0.244,-0.122
2025-10-05 17:32:52,950,20285,20244,0.991,-0.03,-0.098,-0.183,0.122,0
2025-10-05 17:32:52,969,20285,20244,0.99,-0.031,-0.099,-0.122,0.244,-0.061
2025-10-05 17:32:52,988,20285,20244,0.992,-0.035,-0.096,-0.061,0.427,0
2025-10-05 17:32:52,1007,20285,20244,0.99,-0.036,-0.097,-0.061,0.061,-0.061
2025-10-05 17:32:53,19,20305,20244,0.991,-0.039,-0.096,-0.122,0.183,-0.183
2025-10-05 17:32:53,38,20285,20244,0.99,-0.037,-0.1,0,0.305,-0.061
2025-10-05 17:32:53,57,20285,20244,0.991,-0.038,-0.097,-0.061,0.488,-0.305
2025-10-05 17:32:53,76,20285,20244,0.989,-0.035,-0.098,0.122,0.427,-0.183
2025-10-05 17:32:53,95,20285,20244,0.989,-0.033,-0.098,0.183,0.366,-0.183
2025-10-05 17:32:53,114,20305,20244,0.991,-0.035,-0.096,0.244,0.183,-0.244
2025-10-05 17:32:53,133,20285,20244,0.989,-0.035,-0.1,0.183,0.244,-0.305
2025-10-05 17:32:53,152,20285,20244,0.99,-0.035,-0.096,0.305,0.244,-0.305
2025-10-05 17:32:53,171,20285,20244,0.992,-0.035,-0.095,0.183,0.366,-0.122
2025-10-05 17:32:53,190,20285,20244,0.991,-0.036,-0.094,0.244,0.244,-0.366
2025-10-05 17:32:53,209,20285,20244,0.989,-0.032,-0.094,0.183,0.244,-0.305
2025-10-05 17:32:53,228,20285,20244,0.988,-0.032,-0.095,-0.061,0.305,-0.305
2025-10-05 17:32:53,247,20285,20244,0.991,-0.031,-0.094,-0.122,0.366,-0.244
2025-10-05 17:32:53,266,20285,20244,0.99,-0.032,-0.094,-0.122,0.366,-0.183
2025-10-05 17:32:53,285,20285,20244,0.992,-0.03,-0.093,-0.244,0.305,0.061
2025-10-05 17:32:53,304,20285,20244,0.989,-0.033,-0.097,-0.366,0,-0.061
2025-10-05 17:32:53,323,20285,20244,0.989,-0.032,-0.099,-0.244,0.244,-0.244
2025-10-05 17:32:53,341,20285,20244,0.991,-0.032,-0.103,-0.244,0.244,-0.061
2025-10-05 17:32:53,360,20285,20244,0.991,-0.033,-0.099,-0.061,0.244,-0.183
2025-10-05 17:32:53,380,20285,20244,0.99,-0.032,-0.099,-0.122,0.183,0.061
2025-10-05 17:32:53,399,20285,20244,0.99,-0.032,-0.099,0.061,0.366,-0.122
2025-10-05 17:32:53,418,20285,20244,0.99,-0.034,-0.097,0,0.305,-0.122
2025-10-05 17:32:53,437,20285,20244,0.99,-0.037,-0.098,-0.061,0.305,-0.183
2025-10-05 17:32:53,456,20285,20244,0.991,-0.039,-0.096,-0.061,0.244,-0.183
2025-10-05 17:32:53,475,20285,20244,0.99,-0.037,-0.095,0,0.366,-0.183
2025-10-05 17:32:53,494,20285,20244,0.987,-0.035,-0.096,0.061,0.244,-0.122
2025-10-05 17:32:53,513,20285,20244,0.991,-0.033,-0.096,0.183,0.305,-0.122
2025-10-05 17:32:53,532,20285,20244,0.991,-0.032,-0.099,0.183,0.183,-0.183
2025-10-05 17:32:53,551,20285,20244,0.989,-0.033,-0.099,0.488,0.366,-0.305
2025-10-05 17:32:53,570,20285,20244,0.99,-0.034,-0.097,0.427,0.488,-0.122
2025-10-05 17:32:53,589,20285,20244,0.99,-0.036,-0.095,0.366,0.427,-0.244
2025-10-05 17:32:53,608,20285,20244,0.989,-0.036,-0.097,0.488,0.366,-0.244
2025-10-05 17:32:53,627,20305,20244,0.992,-0.036,-0.095,0.366,0.488,-0.244
2025-10-05 17:32:53,646,20285,20244,0.994,-0.033,-0.093,0.549,0.427,-0.427
2025-10-05 17:32:53,665,20285,20244,0.991,-0.032,-0.094,0.671,0.366,-0.366
2025-10-05 17:32:53,684,20285,20244,0.991,-0.028,-0.094,0.61,0.549,-0.183
2025-10-05 17:32:53,703,20285,20244,0.989,-0.03,-0.09,0.671,0.61,-0.366
2025-10-05 17:32:53,722,20285,20244,0.99,-0.031,-0.089,0.854,0.671,-0.427
2025-10-05 17:32:53,741,20285,20244,0.991,-0.035,-0.089,0.977,0.671,-0.427
2025-10-05 17:32:53,760,20285,20244,0.993,-0.039,-0.086,0.916,0.793,-0.488
2025-10-05 17:32:53,779,20285,20244,0.992,-0.041,-0.083,0.977,0.916,-0.183
2025-10-05 17:32:53,798,20285,20244,0.993,-0.045,-0.084,0.671,1.404,-0.732
2025-10-05 17:32:53,817,20285,20244,0.996,-0.036,-0.089,0.916,1.709,-0.549
2025-10-05 17:32:53,836,20285,20244,0.994,-0.02,-0.084,1.282,1.953,-0.122
2025-10-05 17:32:53,855,20285,20244,0.995,-0.015,-0.077,1.099,2.197,-0.244
2025-10-05 17:32:53,874,20285,20244,0.993,-0.015,-0.075,1.709,2.014,-0.122
2025-10-05 17:32:53,893,20285,20244,0.992,-0.037,-0.081,1.282,2.197,-0.671
2025-10-05 17:32:53,912,20285,20244,0.999,-0.048,-0.078,0.916,2.563,-0.244
2025-10-05 17:32:53,931,20285,20244,0.998,-0.053,-0.08,0.244,2.808,-0.244
2025-10-05 17:32:53,950,20285,20244,0.989,-0.04,-0.083,-0.366,2.258,-0.183
2025-10-05 17:32:53,969,20285,20244,0.973,-0.025,-0.102,-0.427,2.258,-0.061
2025-10-05 17:32:53,988,20285,20244,0.983,-0.012,-0.109,-0.488,2.075,-0.183
2025-10-05 17:32:53,1007,20285,20244,0.984,-0.024,-0.129,-0.671,1.953,0.122
2025-10-05 17:32:54,19,20285,20244,0.977,-0.038,-0.15,-0.671,1.77,0
2025-10-05 17:32:54,38,20285,20244,0.982,-0.043,-0.179,-0.732,2.319,0.061
2025-10-05 17:32:54,57,20285,20244,1.105,-0.022,0.147,-1.404,1.831,1.343
2025-10-05 17:32:54,76,20285,20244,0.907,-0.009,0.038,-3.052,1.648,1.221
2025-10-05 17:32:54,95,20305,20244,0.934,0.001,-0.099,-1.953,1.953,0.732
2025-10-05 17:32:54,114,20285,20244,1.036,0.03,-0.043,-2.319,1.648,1.465
2025-10-05 17:32:54,133,20285,20244,1.069,-0.012,0.005,-1.709,1.648,0.305
2025-10-05 17:32:54,152,20285,20244,0.979,-0.022,-0.01,-1.526,0.061,0.793
2025-10-05 17:32:54,171,20285,20244,0.974,-0.046,-0.026,-1.404,-0.305,0.061
2025-10-05 17:32:54,190,20285,20244,0.996,-0.031,-0.01,-1.343,0,0.549
2025-10-05 17:32:54,209,20285,20244,0.996,-0.03,-0,-0.916,0.854,0.488
2025-10-05 17:32:54,228,20285,20244,1,-0.021,0.002,-0.793,0.488,0.61
2025-10-05 17:32:54,246,20285,20244,1.015,-0.028,0.016,-0.244,0.549,0.671
2025-10-05 17:32:54,266,20285,20244,0.998,-0.051,0.018,-0.244,-0.732,0.122
2025-10-05 17:32:54,285,20305,20244,0.989,-0.082,0.02,-0.488,-1.343,-0.488
2025-10-05 17:32:54,304,20285,20244,1.003,-0.1,0.023,-0.793,-0.549,-0.916
2025-10-05 17:32:54,323,20285,20244,1.015,-0.087,0.026,-1.16,-0.122,-1.221
2025-10-05 17:32:54,342,20305,20244,0.988,-0.063,0.013,-1.343,-0.549,-1.404
2025-10-05 17:32:54,361,20305,20244,0.992,-0.047,0.025,-1.404,-0.366,-1.526
2025-10-05 17:32:54,380,20305,20244,1.008,-0.021,0.044,-1.099,-0.671,-1.221
2025-10-05 17:32:54,399,20305,20244,0.987,-0.014,0.032,-0.549,-0.244,-2.014
2025-10-05 17:32:54,418,20305,20244,1.008,-0.014,0.027,-0.366,-0.061,-1.77
2025-10-05 17:32:54,437,20305,20244,0.997,-0.037,0.023,-0.427,0.122,-1.526
2025-10-05 17:32:54,456,20305,20244,0.971,-0.044,0.023,-0.732,-0.061,-2.258
2025-10-05 17:32:54,475,20285,20244,1.021,-0.033,0.017,-1.282,0.122,-1.404
2025-10-05 17:32:54,494,20285,20244,1.031,-0.014,0.018,-2.014,0,-1.648
2025-10-05 17:32:54,513,20285,20244,0.978,0.007,0.005,-2.991,0.671,-1.465
2025-10-05 17:32:54,532,20285,20264,0.998,0.025,0.022,-3.54,0.854,-1.465
2025-10-05 17:32:54,551,20285,20264,1.019,0.029,0.016,-3.723,0.488,-0.427
2025-10-05 17:32:54,570,20285,20264,1.005,0.009,0.012,-3.906,1.16,-0.244
2025-10-05 17:32:54,589,20285,20264,1.004,-0.001,0.024,-4.517,0.244,0.183
2025-10-05 17:32:54,608,20285,20264,0.999,-0.007,0.018,-5.005,-0.244,0.977
2025-10-05 17:32:54,627,20285,20264,0.993,-0.017,0.014,-5.127,0.305,0.671
2025-10-05 17:32:54,646,20285,20264,0.989,-0.027,0.007,-5.493,1.221,0.732
2025-10-05 17:32:54,665,20285,20264,1.019,-0.018,0.03,-6.104,-0.732,1.16
2025-10-05 17:32:54,684,20285,20264,1.008,-0.036,0.011,-6.592,0.854,0.732
2025-10-05 17:32:54,703,20285,20264,0.99,-0.039,0.019,-7.08,0.183,-0.061
2025-10-05 17:32:54,722,20285,20264,0.984,-0.022,0.004,-6.958,-0.61,1.16
2025-10-05 17:32:54,741,20285,20264,1.01,-0.033,-0.002,-7.141,-2.014,0.061
2025-10-05 17:32:54,760,20285,20244,1.005,0.001,0.001,-7.019,-1.343,0.488
2025-10-05 17:32:54,779,20285,20264,0.972,-0.018,-0.003,-6.348,-1.038,1.526
2025-10-05 17:32:54,798,20285,20264,1.055,-0.011,0.047,-5.981,1.77,-0.061
2025-10-05 17:32:54,817,20285,20264,0.985,-0.035,-0.014,-4.944,1.709,1.587
2025-10-05 17:32:54,836,20285,20264,0.993,-0.043,-0.036,-5.066,-1.77,0
2025-10-05 17:32:54,855,20285,20244,1.002,-0.043,0.014,-5.249,-0.183,0.977
2025-10-05 17:32:54,874,20285,20264,0.988,-0.044,-0.019,-5.798,-1.099,-0.366
2025-10-05 17:32:54,893,20285,20264,1.022,-0.025,0.001,-6.287,0,0.732
2025-10-05 17:32:54,912,20285,20264,0.991,-0.032,-0.016,-6.47,-1.038,-0.061
2025-10-05 17:32:54,931,20305,20264,1.021,-0.007,-0.028,-6.836,-2.502,0.366
2025-10-05 17:32:54,950,20285,20264,0.978,-0.011,-0.057,-6.775,-3.662,0.183
2025-10-05 17:32:54,969,20305,20264,0.955,-0.009,-0.051,-6.775,-1.526,-0.183
2025-10-05 17:32:54,988,20285,20264,1.007,-0.011,-0.044,-6.775,1.709,0.61
2025-10-05 17:32:55,19,20285,20264,0.981,-0.002,0.007,-6.47,-1.465,0
2025-10-05 17:32:55,38,20285,20264,1.061,-0.027,0.019,-6.47,2.93,0.61
2025-10-05 17:32:55,57,20285,20264,0.963,0.008,-0.042,-6.165,3.296,-0.427
2025-10-05 17:32:55,76,20285,20264,0.994,-0.061,-0.07,-5.493,-0.061,-0.305
2025-10-05 17:32:55,95,20285,20264,0.993,-0.007,-0.064,-5.859,-3.662,0.061
2025-10-05 17:32:55,114,20285,20264,0.985,-0.059,-0.041,-5.676,-0.061,-1.282
2025-10-05 17:32:55,133,20285,20264,0.986,-0.036,-0.031,-6.226,2.563,-0.305
2025-10-05 17:32:55,152,20285,20264,0.984,-0.059,-0.003,-6.104,2.625,-1.526
2025-10-05 17:32:55,171,20285,20264,1.027,-0.01,-0.004,-6.531,-0.977,-0.183
2025-10-05 17:32:55,190,20285,20264,0.978,-0.013,-0.111,-7.202,-7.141,-0.305
2025-10-05 17:32:55,209,20285,20264,0.967,0.009,-0.124,-8.057,-1.282,-0.916
2025-10-05 17:32:55,227,20285,20264,1.006,0.002,-0.047,-7.568,6.958,-0.244
2025-10-05 17:32:55,247,20285,20264,1.043,0.007,-0.074,-6.592,-0.793,-0.305
2025-10-05 17:32:55,266,20305,20264,0.985,0.004,-0.087,-5.127,-6.042,0.305
2025-10-05 17:32:55,285,20285,20264,0.928,-0.002,-0.191,-4.517,-3.479,-0.305
2025-10-05 17:32:55,304,20285,20264,0.99,0.007,-0.135,-4.272,-5.981,0.183
2025-10-05 17:32:55,323,20285,20264,0.999,0.003,-0.058,-3.967,-3.54,0.61
2025-10-05 17:32:55,341,20305,20264,1.05,-0.021,-0.093,-4.028,7.507,0.366
2025-10-05 17:32:55,361,20285,20264,0.998,-0.017,-0.13,-3.723,6.653,1.038
2025-10-05 17:32:55,380,20305,20264,0.885,-0.027,-0.167,-3.662,-4.639,0.671
2025-10-05 17:32:55,399,20305,20264,1.007,-0.042,-0.062,-3.906,-4.944,0.916
2025-10-05 17:32:55,418,20305,20264,0.901,-0.036,-0.159,-3.601,-6.897,0.427
2025-10-05 17:32:55,437,20285,20264,0.968,-0.039,-0.128,-3.113,0.549,0.305
2025-10-05 17:32:55,456,20285,20264,0.969,-0.003,-0.097,-2.869,5.31,1.465
2025-10-05 17:32:55,474,20285,20264,1.031,0.003,-0.083,-2.747,2.869,0.122
2025-10-05 17:32:55,494,20305,20264,1.041,-0.008,-0.086,-2.197,-3.296,0.183
2025-10-05 17:32:55,513,20305,20264,0.95,-0.047,-0.174,-2.075,-5.127,0.488
2025-10-05 17:32:55,532,20305,20264,0.962,-0.066,-0.122,-2.319,0.732,0
2025-10-05 17:32:55,551,20305,20244,1.024,-0.062,-0.032,-2.625,-2.747,-0.488
2025-10-05 17:32:55,570,20285,20264,1.013,-0.042,-0.083,-2.747,3.479,-0.793
2025-10-05 17:32:55,589,20285,20264,1.01,-0.029,-0.093,-1.953,3.235,-0.916
2025-10-05 17:32:55,608,20285,20264,0.945,0.009,-0.154,-0.854,-2.93,-0.122
2025-10-05 17:32:55,627,20305,20264,0.979,0.017,-0.14,-0.122,-1.404,-1.038
2025-10-05 17:32:55,646,20305,20264,1.073,-0.027,-0.051,0.854,2.38,-1.16
2025-10-05 17:32:55,665,20285,20264,0.985,-0.038,-0.131,1.221,1.404,-1.404
2025-10-05 17:32:55,684,20285,20264,1.014,-0.074,-0.066,1.587,3.296,-1.343
2025-10-05 17:32:55,703,20285,20264,0.957,-0.066,-0.116,1.221,0.61,-0.671
2025-10-05 17:32:55,722,20285,20264,1.001,-0.052,-0.087,0.488,2.502,-2.197
2025-10-05 17:32:55,740,20305,20264,1.006,-0.036,-0.08,0.488,1.648,-2.38
2025-10-05 17:32:55,760,20305,20264,0.962,0,-0.151,0.793,-0.671,-1.404
2025-10-05 17:32:55,779,20305,20264,1.01,-0.021,-0.078,0.977,4.272,-2.38
2025-10-05 17:32:55,798,20305,20264,1.006,-0.018,-0.065,0.183,3.845,-0.977
2025-10-05 17:32:55,817,20285,20264,0.985,-0.027,-0.085,-0.916,9.216,-2.319
2025-10-05 17:32:55,836,20285,20264,0.946,-0.057,-0.139,-2.197,0.732,-1.404
2025-10-05 17:32:55,855,20285,20264,0.99,-0.021,-0.121,-3.601,-4.456,-0.793
2025-10-05 17:32:55,874,20285,20264,1.077,-0.002,-0.039,-4.7,3.662,-0.916
2025-10-05 17:32:55,892,20285,20264,1.002,0.035,-0.054,-5.554,12.024,-0.671
2025-10-05 17:32:55,912,20285,20264,0.951,0.06,-0.152,-6.042,4.517,-0.366
2025-10-05 17:32:55,931,20285,20264,1.007,0.063,-0.044,-5.981,6.714,0.183
2025-10-05 17:32:55,950,20285,20264,1.023,0.054,-0.094,-5.493,-3.662,0.427
2025-10-05 17:32:55,969,20285,20264,0.901,0.017,-0.15,-5.737,-1.587,1.465
2025-10-05 17:32:55,988,20285,20264,0.993,-0.008,-0.091,-6.287,4.761,0
2025-10-05 17:32:55,1007,20285,20264,1.046,-0.046,-0.038,-7.08,2.625,1.282
2025-10-05 17:32:56,19,20285,20264,0.935,-0.038,-0.076,-7.568,0.122,0.305
2025-10-05 17:32:56,38,20285,20264,1.018,-0.024,-0.047,-7.69,0.61,0.427
2025-10-05 17:32:56,57,20285,20264,0.961,0.009,-0.079,-7.874,1.099,0.793
2025-10-05 17:32:56,76,20285,20264,1.01,0.012,-0.059,-7.629,1.16,0
2025-10-05 17:32:56,95,20285,20264,1.005,0.001,-0.049,-7.935,-0.61,1.282
2025-10-05 17:32:56,114,20285,20264,0.958,0.011,-0.063,-7.935,-0.488,0.183
2025-10-05 17:32:56,133,20285,20264,1.039,-0.021,-0.015,-7.874,-3.113,1.16
2025-10-05 17:32:56,152,20285,20264,1.006,0.001,-0.017,-8.362,0.916,1.404
2025-10-05 17:32:56,171,20285,20264,0.977,-0.026,-0.077,-8.24,-1.16,0.916
2025-10-05 17:32:56,190,20285,20264,1.027,0.016,0.017,-8.911,4.456,1.526
2025-10-05 17:32:56,209,20285,20264,1.029,-0.023,0.021,-8.545,4.395,1.099
2025-10-05 17:32:56,227,20285,20264,0.991,-0.003,0.02,-8.85,0.977,1.465
2025-10-05 17:32:56,247,20285,20264,0.946,-0.006,-0.082,-8.789,-7.935,1.709
2025-10-05 17:32:56,266,20285,20264,0.999,0.008,-0.063,-9.705,1.404,1.587
2025-10-05 17:32:56,285,20285,20264,0.994,0.011,-0.024,-9.216,6.592,1.465
2025-10-05 17:32:56,304,20285,20264,1.038,0.002,0.031,-9.521,6.897,1.77
2025-10-05 17:32:56,323,20285,20264,0.971,0.009,-0.051,-9.338,3.296,1.16
2025-10-05 17:32:56,341,20285,20264,0.991,-0.003,-0.012,-9.216,-7.141,1.648
2025-10-05 17:32:56,361,20285,20264,0.947,-0.042,-0.067,-9.583,0.977,0.427
2025-10-05 17:32:56,380,20285,20264,1.036,-0.013,0.002,-10.071,1.099,1.953
2025-10-05 17:32:56,398,20285,20264,1.043,0.013,0.009,-9.949,2.197,2.136
2025-10-05 17:32:56,418,20285,20264,1,0.039,-0,-9.216,0.732,1.709
2025-10-05 17:32:56,437,20285,20264,1.04,0.005,0.053,-8.728,3.113,1.038
2025-10-05 17:32:56,456,20285,20264,0.997,-0.011,0.033,-8.484,-3.723,1.77
2025-10-05 17:32:56,475,20285,20264,0.995,-0.012,-0.05,-8.85,-0.732,1.831
2025-10-05 17:32:56,494,20285,20264,0.992,-0.014,-0.07,-9.277,-1.892,1.709
2025-10-05 17:32:56,513,20285,20264,0.964,-0.042,-0.039,-8.789,2.441,0
2025-10-05 17:32:56,532,20285,20264,0.993,-0.036,0.017,-8.911,-1.587,1.099
2025-10-05 17:32:56,551,20285,20264,1.023,-0.024,-0.03,-9.155,-1.526,0.61
2025-10-05 17:32:56,570,20285,20264,1.037,0.014,-0.035,-9.094,-2.014,0.916
2025-10-05 17:32:56,589,20285,20264,1.007,0.014,-0.076,-8.24,-1.587,1.16
2025-10-05 17:32:56,608,20285,20264,0.983,0.024,-0.071,-6.409,-2.93,1.038
2025-10-05 17:32:56,627,20285,20264,0.952,-0.007,-0.094,-5.615,-0.488,0.427
2025-10-05 17:32:56,646,20285,20264,0.99,-0.026,-0.066,-6.165,-0.549,0.183
2025-10-05 17:32:56,665,20285,20264,1.021,-0.062,-0.048,-6.409,0.122,0.122
2025-10-05 17:32:56,683,20285,20264,0.992,-0.064,-0.099,-7.141,-0.732,0.549
2025-10-05 17:32:56,703,20285,20264,1.007,-0.048,-0.101,-8.118,-1.038,0
2025-10-05 17:32:56,722,20285,20264,1.003,-0.025,-0.101,-8.911,-0.732,-0.427
2025-10-05 17:32:56,741,20285,20264,1.005,0.008,-0.083,-9.094,-0.793,0
2025-10-05 17:32:56,760,20285,20264,0.977,0.041,-0.085,-7.69,-0.122,-0.549
2025-10-05 17:32:56,779,20285,20264,0.956,0.072,-0.125,-7.141,-0.183,0.977
2025-10-05 17:32:56,798,20285,20264,0.981,0.044,-0.127,-7.812,-1.16,1.648
2025-10-05 17:32:56,816,20285,20264,1.044,-0.001,-0.064,-7.751,1.282,1.648
2025-10-05 17:32:56,836,20285,20264,0.994,-0.05,-0.062,-7.751,-1.648,1.221
2025-10-05 17:32:56,855,20285,20264,0.969,-0.061,-0.144,-8.179,-2.991,0.854
2025-10-05 17:32:56,874,20285,20264,0.942,-0.039,-0.197,-8.423,-0.732,0.793
2025-10-05 17:32:56,893,20285,20264,0.984,0.004,-0.137,-9.094,0.977,0.549
2025-10-05 17:32:56,912,20285,20264,1.011,0.041,-0.077,-8.057,-0.732,1.526
2025-10-05 17:32:56,931,20285,20264,1.017,0.04,-0.073,-6.897,-0.977,0.854
2025-10-05 17:32:56,950,20305,20264,0.975,0.002,-0.162,-5.554,-2.747,-0.305
2025-10-05 17:32:56,969,20285,20264,1.015,-0.023,-0.106,-5.493,1.587,0.671
2025-10-05 17:32:56,988,20285,20264,1.032,-0.049,-0.055,-4.944,2.136,0.366
2025-10-05 17:32:57,19,20285,20264,0.986,-0.048,-0.1,-5.31,-0.61,0.793
2025-10-05 17:32:57,38,20285,20264,0.956,-0.062,-0.155,-4.639,-1.465,-0.671
2025-10-05 17:32:57,56,20285,20264,0.971,-0.039,-0.141,-4.517,-1.587,-1.221
